idx,question,Q0,Q2,Q3,Q4,Q5
189,Have some additional facts to add to Wiki's listing for Robert (Bob) Gilruth ([LINK] Also things on paleoclimate as I find them. Thanks. Am a retired oceanographer.,Y,N,N,N,N
190,HI - the wikipedia page Daphne Zohar contains outdated info. I tried to update the info and my changes got reverted (in seconds) by a bot. I'm not sure what I did wrong. Can you see if its possible to keep the changes while letting me know what specific edit caused the reversion by Leonid (the bot). Thank you!,Y,N,Y,Y,Y
191,"G'day, I'm working on a few articles and I'm just in need of assistance with doing referencing again. I'm also working on a article that hasn't been published, you can let me know and I can always publish it for you to assist in working on it. Regards, Ethan.",Y,N,Y,N,Y
192,"Hello, Mark here! I'm a web developer normally I can do everything but Wikipedia is a new world for me but soon will everything be very easy for me. I have a Q for you, when can I start publishing pages and bios? thanku and have a good weekend Mark",Y,N,N,Y,N
193,"Hello. I'm really not interested in editing—I'm just trying to get into the Wikipedia Choral Public Domain Library to obtain printed music, particularly that which us usable for hammered dulcimer. What what do I need to do in order to do this? Help!",N,N,N,N,N
194,"I don't know how to start the article. I just make a short article in my sandbox, but the article can just be read by me. How to create a new article that can be read by public?",Y,N,N,N,Y
195,"Subject: Request for Guidance Regarding Reverted Edits and Warning Received Hello, I hope you are doing well. I am reaching out to you as my assigned mentor on Wikipedia because I recently faced a situation that I would appreciate your guidance on. I have been working on improving the ""Open University of Sudan"" article by adding reliable sources to support the existing content. However, one editor reverted all my edits without providing a clear explanation, and I also received a warning accusing me of disruptive editing. I replied politely asking for clarification but have not received any response. Since I am new to Wikipedia editing, I want to make sure I am following the correct procedures and contributing constructively. Could you please advise me on how to handle this situation? I am eager to learn and improve my contributions while respecting Wikipedia’s guidelines. Thank you very much for your support and time. Best regards",Y,N,Y,Y,Y
196,"Hello Hannah, I published an article but it has not reflected, any reason why?",Y,N,Y,Y,Y
197,"Hey! If you could just let me know, im new to editing and have grown up as a dinosaur fan and fan of other media, but one of the biggest youtubers in my space is TheGamingBeaver, he has over 4 million subscribers and 2+ Billion Views. He is th biggest dinosaur/Kaiju game/Movie youtuber out there really, and has made a huge impact in the space. I was wondering if a wiki would be alright to be made for him? I have a near draft ready but with a lot of issues (as like I said im very new to editing lol) but I feel like he deserves it. Even if its a small Wikipedia page. Thank you for your time.",Y,N,N,N,Y
198,"Hi hope you are well, I'm just going through articles that have suggested edits to check if theres anything that need changing and an article I'm looking at says it contains promotion content and I'm not sure if it might be the fact that in the intro to the article about the person it mentions a film the directed and gives info on the film which takes up most of the intro when theres a separate section for the films he has done, could the film information the introduction be the promotional content. sorry I'm new and don't want to make a mistake.",Y,N,N,Y,N
199,hello,N,N,N,N,N
200,"Hey, whats up, I tried to add links to the References chapter but I got numbers on top of the line. Can I remove them and how can I do it? Thank you in advance.",Y,N,N,N,Y
201,I want add photo to my profile,Y,N,N,N,N
202,"Hello Asaraeel, I am new to Wikipedia editing and I want to know how to help, I have used this website for a long time.",Y,Y,N,N,N
203,I can't figure out to add a new thing to this but Rainbow Six: Smol needs to be added to this page,Y,N,N,N,N
204,")]] Hi, I have a PILE of documents and history including all the private ship newsletters from the battlecruiser USS GUAM from WWII. I don't know how to get in touch with the person who seems to have the most edits on the page for the Guam. What should I do? Can you email me at my email on file? Thanks",Y,N,N,N,N
205,What must I do with the same references in [WIKILINK]? But perhaps I've encountered a reference loop here.,Y,N,N,N,Y
206,Hello! Could I ask how to add those infoboxes to my user page? I would love to display my proficiency in different languages and my experiences and (informal) disclosures to make. Thank you!,Y,N,N,N,N
207,Hello. Does Wikipedia allow to share links to the information I provide?,Y,N,N,Y,N
208,"hey i want to make a page about my company, whats the best way to write it so it gets accepted at first and then i can go about making changes in it later too",Y,N,N,Y,N
209,"Hi, I had a friend who updated my Wiki Website. But he can do it no longer. I have written more articles and see other changes (an article that is listed ""in print"" and was published in the meantime). How do I do this. All the info I found was confusing to me.",Y,N,N,N,N
210,"hi dear admin, i would like to ask to you i can create new articles of wiki german but i can't do that on Wiki English could you please help me on that issue Sincerely",Y,N,N,N,N
211,"Hello there, I might see your edits about this!",N,N,N,N,N
212,"Hello, how long will it take for my page to get reviewed? I have been waiting for over a week now.",Y,N,N,Y,Y
213,"hello,what is I.C.T",N,N,N,N,N
214,Hi. I would like to publish a Wiki on behalf of an author. Now what?,Y,N,N,N,N
215,how can i publish my article,Y,N,N,N,Y
216,how to create a page for other person,Y,N,N,N,N
217,"Hi, I have edited the Royal Indian navy mutiny page by changing the word mutiny to rebellion, based on a book. I have included the citation. How can I change the page title?",Y,N,N,N,Y
218,"Hello, How can I create a new page?",Y,Y,N,N,N
219,"Hola, quería preguntar, ¿cómo se agregan imágenes y/o fotos a los sitios de Wikipedia? Gracias.",N,N,N,N,N
220,Good morning! How soon add images to an article? Thanks!,Y,N,N,N,N
221,"In that piece is says attic char have no Kyle or it is barely visable, yet above that is a photo a a gut holding a very large Artic Char with a clearly visible Kyle. Very prominent. I'm new here and not sure how to go about things so whatever you think is fine with me as they said you were the mentor to ask. Thanks",Y,N,N,N,N
222,How do I create a new article?,Y,Y,N,N,N
223,"Hi, assigned mentor! Where do I start with editing and improving pages on Wikipedia?",Y,Y,N,N,N
224,I want this page to be protected,Y,N,N,N,N
225,Hello I want to learn computer,N,N,N,N,N
226,Hi! How would I create a new subheading/section on a page?,Y,N,N,N,N
227,"Olá, estou fazendo um trabalho para a faculdade. Nele consiste em fazer uma pequena, porém detalhada autobiografia. E uma boa forma de isto se tornar público seria aqui. Isso seria possível?",N,N,N,N,N
228,"Hello!:) I've been going a bit ham on editing Wikipedia, and there are a few pages ([LINK], [LINK], [LINK], & [LINK]) where I made some pretty hefty edits. If you have some time and would be willing to take a look at what I've been up to, I would really appreciate that - it would be great to know whether I'm on the right track or not (and if not, what I could be doing better). Definitely no pressure and no worries if not though, I understand it's kind of a big & broad ask and that you must be really busy!:) Thank you for your time.",Y,N,Y,N,Y
229,Hello. What pages do you find most frequently vandalized?,Y,N,N,N,N
230,"I've been reading essays, and I'm curious about them - how are they created?",Y,N,N,N,N
231,Hello I want to be publicly shown,N,N,N,N,N
232,How do I create an article?,Y,Y,N,N,N
233,"Hello, I want to change my username.",Y,N,N,N,N
234,"Hi, I wanted to edit something about the article “October 7” that word “ongoing” war, I wanted to delete it, so my question is, is it OK? Or should I wait a few months? Until this war can be considered over.",Y,N,N,Y,N
235,"I'm trying to upload the image of the artist but can't find the contribute icon, please help",Y,N,N,N,N
236,How do i create a wiki,Y,Y,N,N,N
237,"Hi, can you please review the article and move it to the main page",Y,N,Y,N,Y
238,How can I make the article I wrote public? Is what I did wrong? Explain it to me.,Y,N,N,Y,Y
239,I am not trying to advertise but I am trying to get the information correct on our company page. It keeps getting picked up on web searches and AI searches. How do I get the correct information on our page?,Y,N,N,Y,N
240,Fix my userpage,Y,N,N,N,Y
241,Can I add a picture to this page. I have a picture of captain hunts grave stone,Y,N,N,N,N
